USO,x,Open,Close
0.09,-0.034284394,38.31,38.4
-0.07,-0.611324505,38.31,38.24
0.24,0.729327926,37.85,38.09
0.17,-0.003209083,37.73,37.9
0.36,0.04346996,37.4,37.76
0.53,0.038106683,37.06,37.59
0.07,-0.050461611,36.77,36.84
-0.26,-0.175116222,37.27,37.01
-0.33,0.096212959,37.79,37.46
0.17,0.082990554,37.66,37.83
-0.13,-0.176637021,38.07,37.94
0.17,-0.049473645,38.1,38.27
0.65,0.337401564,36.71,37.36
-0.23,0.242347282,36.9,36.67
-0.17,0.010647978,37.38908157,37.21867557
-0.17,0.036578702,37.46927263,37.29886663
0.16,0.266574036,37.50936816,37.66975028
-0.46,-0.154253468,37.95041899,37.4893204
0.35,-0.220224707,37.8301324,38.18096829
-0.4,-0.228739446,38.41151758,38.01056228
-0.16,0.185656801,38.70221017,38.54182805
0.41,-0.086376437,38.02058617,38.43156535
0.22,0.674012512,37.66975028,37.8902757
-0.29,-0.188116983,37.86020405,37.56951146
0.3,0.281104621,37.45924875,37.75996522
0.26,0.036464821,37.38908157,37.64970252
-0.33,-0.466886151,37.4291771,37.09838898
0.18,-0.357963634,37.33896216,37.51939204
0.4,-0.000378036,36.4568605,36.8578158
0.12,0.004987147,36.37666944,36.49695603
0.51,0.613765469,36.13609626,36.64731427
-0.09,0.278195639,36.01580968,35.92559473
0.31,0.223697603,34.98334978,35.29409014
0.06,-0.021867077,34.69265719,34.75280049
-0.25,-0.172355355,34.67786585,34.42606607
0.33,-0.046527688,34.24477022,34.57714594
-0.02,-0.121520401,34.06347438,34.0433304
-0.18,-0.419578132,34.16419429,33.98289845
0.59,0.410991404,33.28793106,33.88217854
-0.4,0.295588486,33.87210655,33.4692269
-0.35,-0.043015296,34.22462624,33.87210655
-0.18,0.262829884,35.21168138,35.03038554
0.11,0.243402794,35.10088948,35.21168138
-0.1,-0.030287921,35.11096147,35.01024156
-0.02,0.915736606,35.01024156,34.99009758
0.42,-0.217954769,34.1541223,34.57714594
-0.07,-0.568189361,34.34549014,34.2749862
0.25,-0.459983728,33.78145863,34.03325841
0.09,-0.485046393,34.1541223,34.24477022
0.76,0.246782926,33.64045075,34.40592208
0.07,0.580689913,33.79153062,33.86203456
-0.14,0.240687564,33.64045075,33.49944287
0.2,-0.063565143,33.2375711,33.43901093
0.23,0.763665033,33.16706716,33.39872296
-0.3,0.065476584,33.14692318,32.84476344
0.5,0.250291011,33.04449944,33.54899562
-0.6,0.310910201,34.00304218,33.39764677
-0.22,0.129157364,34.3158298,34.09385149
0.2,0.749612302,33.46827623,33.6700747
0.65,-0.013602777,33.18575837,33.8416034
-0.32,-0.232498674,34.08376156,33.76088401
-0.27,0.168807114,34.68915697,34.41672904
0.36,0.475849481,34.38645927,34.74969651
-0.02,0.149768958,34.53780812,34.51762827
0.19,0.255078387,33.98286233,34.17457087
0.51,-0.316384549,33.39764677,33.91223286
-0.22,0.462186265,34.08376156,33.86178325
-0.05,-0.007333441,34.21493057,34.16448095
0.55,0.242469473,33.89205302,34.44699881
-0.04,0.101653426,34.51762827,34.47726858
0.2,-0.015833135,34.50753835,34.70933682
-0.11,0.16255627,34.42681896,34.3158298
0.18,0.705751199,34.26538019,34.44699881
0.11,0.209871577,34.20484064,34.3158298
0.9,0.18479096,32.88306067,33.79115378
0.02,0.025249868,32.66108235,32.6812622
-0.48,0.271447771,33.94250263,33.45818631
0.28,-0.088484347,33.59475223,33.87697637
-0.09,-0.00951807,33.47379902,33.38308412
0.69,-0.125981982,32.81863584,33.51411676
0.64,-0.303913236,32.27434642,32.91943017
0.34,-0.694520923,31.77037474,32.11307549
0.2,-0.942200795,31.87116908,32.07275775
-0.07,0.079321548,31.70989814,31.63934211
0.45,0.570008237,31.43775343,31.89132795
-0.4,0.086387335,31.65950097,31.25632363
0.15,0.287311774,31.86108965,32.01228115
-0.45,0.77236384,32.19371095,31.74013644
-0.21,-0.57085092,33.00006564,32.78839754
-0.25,0.733741577,33.9777707,33.72578486
0.29,-0.106023831,33.80642033,34.09872391
0.31,-1.014486482,33.59475223,33.90721467
0.18,-0.223933246,33.57459336,33.75602316
0.2,0.025117238,33.34276639,33.54435506
0.16,-0.392501673,33.49395789,33.65522883
-0.87,-0.3833178,34.9050786,34.02816787
0.25,-0.059388423,34.67325162,34.92523746
0.25,-0.262234557,34.70348992,34.95547576
0.16,0.291950117,34.95591508,35.11760766
0.28,0.184444595,34.63252991,34.91549193
0.21,-0.132757144,34.60221255,34.81443407
-0.04,0.033015787,34.24851003,34.20808689
0.3,0.083445654,33.66237442,33.96554801
-0.18,0.030880647,33.58152813,33.39962398
0.02,-0.016828883,33.78364386,33.80385543
-0.62,-0.172527665,34.0463943,33.41983555
0.61,-0.108262159,33.38951819,34.00597116
-0.01,0.380299594,33.96554801,33.95544223
0.16,0.421838363,33.61184549,33.77353807
-0.31,-0.257518217,33.85438436,33.54110499
-0.2,-0.273095727,33.81396122,33.61184549
0.18,-0.185002145,33.20761403,33.38951819
