Day,Actual,Prediction,Bought,Sold,Profit
130,0.59,-0.455400901,,,18.0252153464
131,-0.03,-0.087734046,0.36308976,,19.1864652353
132,0.33,-1.46340252,,,19.1864652353
133,0.21,0.136530502,,,19.1864652353
134,0.22,0.790927154,,,19.1864652353
135,1.35,1.057022408,,,19.1864652353
136,-0.01,1.008582357,0.40710064,,20.4475173479
137,0.37,-1.161846574,,,20.4475173479
138,0.09,0.609663276,0.48272519,,21.8802534042
139,0.44,-0.496301815,0.5266093,,23.4558666773
140,0.48,-0.325943121,,,23.4558666773
141,-0.96,-0.067486513,,,23.4558666773
142,0.51,0.095116929,,,23.4558666773
143,-0.3,0.36641732,0.17553643,,23.9843026864
144,0.16,-0.14615177,,,23.9843026864
145,0.12,0.401161662,,,23.9843026864
146,0.16,0.45595684,0.27427568,,24.770406556
147,0.25,-0.327134413,0.25233363,,25.5024778296
148,0.23,-0.482789172,-0.55952239,,23.8625530584
149,-0.51,-0.573426971,-1.02030553,,20.9418589905
150,-0.93,-0.407486451,0.54855136,,22.5248676113
151,0.5,-0.735592671,,,22.5248676113
152,0.32,-0.026877715,-1.206813,,19.0752296574
153,-1.1,-1.085480974,-0.82282704,,16.6615425769
154,-0.75,-0.227515358,,,16.6615425769
155,0.74,1.014713105,,,16.6615425769
156,-0.18,0.443750671,,,16.6615425769
157,0.49,0.08245938,,,16.6615425769
158,-0.39,0.885087079,,,16.6615425769
159,0.6,0.733269091,-0.62002263,,14.9343456984
160,-0.57,-1.176906403,,,14.9343456984
161,-1.24,-0.011321206,,,14.9343456984
162,-0.22,0.709729569,0.05438795,,15.1001482758
163,0.05,-0.109835281,,,15.1001482758
164,-0.7,0.249430926,-1.15302453,,11.4722518396
165,-1.06,-0.104305225,,,11.4722518396
166,-0.1,0.852334493,,,11.4722518396
167,0.24,0.31957598,0.33720529,,12.550118289
168,0.31,-0.741099129,,,12.550118289
169,-0.75,-0.094999925,,,12.550118289
170,0.57,0.049512177,,,12.550118289
171,0.67,0.853476739,0.43510359,,13.8804979184
172,0.4,-0.446963503,0.11965349,,14.2412944299
173,0.11,-0.409556055,,,14.2412944299
174,-0.37,0.049167419,,,14.2412944299
175,0.8,0.715953836,,,14.2412944299
176,1.46,0.14984431,,,14.2412944299
177,0.53,0.02050981,0.01087759,,14.2727571937
178,0.01,-1.751046068,-0.02175518,,14.2088819795
179,-0.02,-0.908843044,-1.57725054,,9.46653148652
180,-1.45,-0.21675901,,,9.46653148652
181,1.13,1.515445138,1.81944239,,14.668839588
182,1.67,-0.507661216,,,14.668839588
183,-0.01,0.175478526,,,14.668839588
184,0.25,1.184246871,,,14.668839588
185,0.22,0.528831041,,,14.668839588
186,0.21,0.379395496,,,14.668839588
187,-0.5,-0.012770723,,,14.668839588
188,-0.19,0.460958956,-0.41400485,,13.4987494083
189,-0.38,-0.158691002,0.41400486,,14.6653581469
190,0.38,-0.159728186,,,14.6653581469
191,0.12,0.925837984,,,14.6653581469
192,-1.58,1.136750737,,,14.6653581469
193,0.21,1.313545819,1.64512457,,19.5633692201
194,1.51,-0.324269194,1.95018077,,25.4543251903
195,1.79,-0.283557284,-0.32684594,,24.4631137714
196,-0.3,-0.491840375,,,24.4631137714
197,-0.08,0.224146029,,,24.4631137714
198,-0.26,0.385985177,,,24.4631137714
199,-1.3,0.104342668,,,24.4631137714
200,0.19,1.17676571,1.25290944,,28.3770481787
201,1.15,-0.631809454,,,28.3770481787
202,-0.26,0.052306951,-0.56526516,,26.5516157109
203,-0.52,-0.630898204,,,26.5516157109
204,-0.96,1.163951693,,,26.5516157109
205,0.14,0.383748916,-0.17392774,,25.9809207158
206,-0.16,-1.206147311,,,25.9809207158
207,0.14,0.162560397,,,25.9809207158
208,0.47,0.155497566,,,25.9809207158
209,-0.08,4.462412623,,,25.9809207158
210,0.49,1.13992159,,,25.9809207158
211,-1.74,-0.073090271,,,25.9809207158
212,0.13,1.498803255,0.78267484,,28.5019397176
213,0.72,-0.315874329,0.75006338,,30.9152858844
214,0.69,-0.642076568,0.25002113,,31.7234049417
215,0.23,-0.140690694,-0.41307838,,30.3886077855
216,-0.38,-0.48891159,,,30.3886077855
217,-0.25,-0.050103223,,,30.3886077855
218,0.14,-0.013231432,-1.8153708,,24.4715160553
219,-1.67,-0.275219413,,,24.4715160553
220,-0.95,1.276457544,0.08696387,,24.7650809504
221,0.08,-1.126342207,0.55439468,,26.6365571861
222,0.51,-1.700957893,0.14131629,,27.1182058844
223,0.13,-2.330909982,1.70559914,,32.8829541112
224,1.57,-2.56288969,-0.05431845,,32.6998188174
225,-0.05,-1.522323471,0.41282017,,34.12066781
226,0.38,-1.043994513,,,34.12066781
227,0.73,-0.061329809,0.04345476,,34.2676493804
228,0.04,-0.258692558,,,34.2676493804
229,-0.65,-0.058565454,,,34.2676493804
230,0.96,0.927674475,0.30418329,,35.2870350197
231,0.28,-0.683722282,,,35.2870350197
232,-0.13,0.623736786,,,35.2870350197
233,0.13,0.297756835,0.0977732,,35.6031262265
234,0.09,-0.339389441,1.17327839,,39.3747300558
235,1.08,-0.26585874,,,39.3747300558
236,0.57,-0.052113204,0.51059338,,41.0005956338
237,0.47,-0.962618433,-0.488866,,39.4469651557
238,-0.45,-0.579666217,,,39.4469651557
239,1.24,0.856278195,0.1955464,,40.0548715253
240,0.18,-0.701211465,,,40.0548715253
241,-0.62,0.432468739,,,40.0548715253
242,-1.17,0.619438767,,,40.0548715253
243,0.31,0.780379591,,,40.0548715253
244,-0.81,0.461013205,0.83650404,,42.7421940195
245,0.77,-0.203829452,,,42.7421940195
246,-1.2,0.22090982,,,42.7421940195
247,0.64,0.219581667,,,42.7421940195
248,1.22,0.336858387,,,42.7421940195
249,-0.02,1.231749792,,,42.7421940195
250,-0.11,0.698269563,-0.21706472,,42.0266943005
251,-0.2,-0.236651487,,,42.0266943005
252,0.13,0.573501452,,,42.0266943005
253,-0.32,0.488006547,-0.2713309,,41.1564326936
254,-0.25,-0.105551467,-0.88996536,,38.2692220231
255,-0.82,-0.27464508,,,38.2692220231
256,0.09,0.276433968,,,38.2692220231
257,0.98,0.566922062,,,38.2692220231
258,0.37,0.469681004,-0.13023883,,37.8624481477
259,-0.12,-0.647130636,,,37.8624481477
260,-0.82,0.256042518,,,37.8624481477
261,0.34,0.547267478,-0.84655241,,35.1848408332
262,-0.78,-0.752013721,,,35.1848408332
263,-0.62,0.751457048,1.02020418,,38.4803218968
264,0.94,-0.255150119,,,38.4803218968
265,1.13,1.446891592,,,38.4803218968
266,0.99,0.107396975,-0.26029344,,37.6465216665
267,-0.24,-0.313082839,-0.75918921,,35.2096838767
268,-0.7,-1.147531504,,,35.2096838767
269,-0.12,0.575393355,,,35.2096838767
270,-0.96,0.364222615,,,35.2096838767
271,-0.15,0.909946963,-0.26029344,,34.334776245
272,-0.24,-0.293380472,-1.16047492,,30.4436498168
273,-1.07,-0.213030972,,,30.4436498168
274,-0.25,1.278514956,,,30.4436498168
275,-0.16,0.106836898,-0.04338224,,30.2971662126
276,-0.04,-0.324178016,,,30.2971662126
277,0.13,0.758265361,0.71580696,,32.6806509549
278,0.66,-0.462270492,-0.24944788,,31.8466375729
279,-0.23,-0.213660495,,,31.8466375729
280,-0.48,0.862372075,-0.85679924,,29.0277243537
281,-0.79,-1.102976908,0.33621236,,30.131133856
282,0.31,-0.217417997,0.60735136,,32.0911509296
283,0.56,-0.28036879,0.36874904,,33.277389472
284,0.34,-0.524606177,,,33.277389472
285,-0.08,0.081556039,,,33.277389472
286,-0.22,0.837575582,0.20606564,,33.9275230778
287,0.19,-0.495665871,,,33.9275230778
288,-0.11,0.69147149,,,33.9275230778
289,0.23,1.29860705,,,33.9275230778
290,0.16,-0.036654644,,,33.9275230778
291,0.65,-0.049501898,-0.16297043,,33.4359857827
292,-0.15,-0.351986631,,,33.4359857827
293,0.3,0.339679462,,,33.4359857827
294,-0.55,0.619046752,-0.47804657,,31.9707541122
295,-0.44,-0.471766652,-0.20642921,,31.3343469014
296,-0.19,-0.180798808,,,31.3343469014
297,-0.24,0.592518005,,,31.3343469014
298,-0.57,0.0121605,0.93436376,,34.3011853076
299,0.86,-0.841649861,,,34.3011853076
300,-0.34,0.167329474,,,34.3011853076
301,-0.98,0.914190917,-0.79312273,,31.6564627416
302,-0.73,-0.82208545,,,31.6564627416
303,0.31,0.503485537,0.14124103,,32.1270522302
304,0.13,-0.336490245,,,32.1270522302
305,-0.46,0.115021243,,,32.1270522302
306,-0.15,0.247814357,,,32.1270522302
307,-0.74,0.325103132,0.75793841,,34.694762855
308,0.7,-0.243700656,0.74711072,,37.2175475104
309,0.69,-0.47978815,-0.21655383,,36.4924878179
310,-0.2,-0.121521677,,,36.4924878179
311,-1.32,1.078207501,,,36.4924878179
312,-0.76,0.123280046,0.01082769,,36.5313967313
313,0.01,-0.740463266,,,36.5313967313
314,0.67,-0.014711754,,,36.5313967313
315,0.42,0.091502048,0.21655383,,37.2778778468
316,0.2,-0.649938724,,,37.2778778468
317,0.16,0.11090108,0.6388338,,39.4551345054
318,0.59,-0.565412419,,,39.4551345054
319,0.29,-0.063896465,,,39.4551345054
320,0.33,0.226620425,0.46559074,,41.0062392194
321,0.43,-0.706619756,,,41.0062392194
322,-0.1,0.13725144,,,41.0062392194
323,-0.31,0.389302014,0.58469534,,42.986560901
324,0.54,-0.265758543,0.28151998,,43.9687671302
325,0.26,-0.229973989,,,43.9687671302
326,0.47,0.044267242,-0.75774957,,41.3880209916
327,-0.7,-0.292083092,,,41.3880209916
328,0.2,0.313811359,,,41.3880209916
329,0.33,0.128617383,0.07577496,,41.6412748768
330,0.07,-0.90757839,0.24897486,,42.4635235719
331,0.23,-0.632309614,,,42.4635235719
332,-0.22,0.949301027,,,42.4635235719
333,0.21,0.686758929,,,42.4635235719
334,0.33,0.304208089,0.22732488,,43.2144608475
335,0.21,-0.387791196,,,43.2144608475
336,-0.65,0.249987464,,,43.2144608475
337,-0.3,0.239573285,,,43.2144608475
338,0.45,0.107423793,0.05412497,,43.3926769529
339,0.05,-0.12740149,-0.18402489,,42.7846262101
340,-0.17,-0.126790257,,,42.7846262101
341,-0.65,0.079028762,,,42.7846262101
342,1.18,0.026388327,,,42.7846262101
343,0.31,0.989127336,,,42.7846262101
344,-0.05,0.220035039,,,42.7846262101
345,-0.42,0.278890024,,,42.7846262101
346,-0.27,0.487940405,,,42.7846262101
347,0.64,0.177135778,,,42.7846262101
348,0.05,0.344029558,-0.11858798,,42.3958561781
349,-0.11,-0.582033104,,,42.3958561781
350,0.23,0.913613015,,,42.3958561781
351,0.55,0.449996771,,,42.3958561781
352,0.03,-0.024667155,-0.50669408,,40.80199926
353,-0.47,-0.50222774,,,40.80199926
354,0.32,0.018971178,,,40.80199926
355,-0.4,0.121259924,,,40.80199926
356,-0.18,0.288529914,,,40.80199926
357,0.02,0.724042711,0.64684351,,42.8545065367
358,0.6,-0.452023465,-0.19405306,,42.2406652359
359,-0.18,-0.412299147,,,42.2406652359
360,-0.47,0.43748675,,,42.2406652359
361,0.43,0.357476424,0.10780725,,42.5944977309
362,0.1,-0.75904699,,,42.5944977309
363,-0.14,0.119807388,0.62528206,,44.6766933173
364,0.58,-0.373748649,0.99182671,,48.001763441
365,0.92,-0.759097504,,,48.001763441
366,-0.49,0.137422942,,,48.001763441
367,-0.73,1.046557997,,,48.001763441
368,0.2,1.812884526,0.45279046,,49.5320623338
369,0.42,-0.474210652,,,49.5320623338
370,-0.09,0.522478314,,,49.5320623338
371,0.16,0.971410925,,,49.5320623338
372,-0.96,0.198155203,,,49.5320623338
373,0.08,2.056373872,-1.04391718,,45.7080153848
374,-0.97,-0.911993246,,,45.7080153848
375,-0.42,1.618620498,,,45.7080153848
376,-0.02,0.221118199,,,45.7080153848
377,-0.17,0.314690616,,,45.7080153848
378,-0.12,0.169925167,-0.19371659,,44.9856952852
379,-0.18,-0.475080191,-0.91477278,,41.5297827676
380,-0.85,-0.295375906,,,41.5297827676
381,-0.57,0.416303762,,,41.5297827676
382,-1.04,-0.019311905,,,41.5297827676
383,0.24,0.315855721,,,41.5297827676
384,-0.22,0.114323478,0.47352944,,43.4862107984
385,0.44,-0.335630142,,,43.4862107984
386,-0.23,0.271843587,,,43.4862107984
387,0.87,0.570823583,,,43.4862107984
388,0.36,0.42140072,,,43.4862107984
389,0.77,0.06078437,,,43.4862107984
390,-0.15,0.296824475,-0.50542374,,41.482094319
391,-0.47,-2.023835711,0.46240895,,43.3057544057
392,0.43,-0.92050807,,,43.3057544057
393,0.61,0.75335024,,,43.3057544057
394,-0.91,-0.024666311,,,43.3057544057
