"","x"
"1",-0.0342843940918596
"2",-0.611324505352264
"3",0.729327925767781
"4",-0.0032090833026332
"5",0.0434699597081397
"6",0.0381066827715123
"7",-0.0504616113210922
"8",-0.175116222270783
"9",0.0962129589773712
"10",0.0829905536805409
"11",-0.176637021161848
"12",-0.0494736449768115
"13",0.337401563912243
"14",0.242347281737658
"15",0.0106479779097649
"16",0.0365787017033902
"17",0.26657403600723
"18",-0.154253467900817
"19",-0.220224706842755
"20",-0.228739445776732
"21",0.185656800639926
"22",-0.0863764372915211
"23",0.674012512002281
"24",-0.188116983462626
"25",0.281104620996082
"26",0.0364648209377754
"27",-0.466886150505212
"28",-0.357963633797132
"29",-0.000378035587904351
"30",0.00498714665769977
"31",0.613765469081038
"32",0.278195638635723
"33",0.223697603487257
"34",-0.0218670771551307
"35",-0.172355354661056
"36",-0.0465276881795438
"37",-0.121520400622764
"38",-0.419578132099836
"39",0.410991403539796
"40",0.295588486282757
"41",-0.0430152955261731
"42",0.262829883615152
"43",0.243402793806427
"44",-0.0302879212511257
"45",0.915736605994034
"46",-0.217954769372892
"47",-0.568189361233948
"48",-0.45998372820861
"49",-0.485046392975839
"50",0.246782926477239
"51",0.580689913446891
"52",0.240687564405542
"53",-0.0635651431677668
"54",0.763665032939378
"55",0.065476584400893
"56",0.25029101076779
"57",0.31091020064824
"58",0.129157363905258
"59",0.749612302390849
"60",-0.0136027769431745
"61",-0.232498674038098
"62",0.168807113502003
"63",0.475849480690251
"64",0.149768957942092
"65",0.255078387178523
"66",-0.316384549294507
"67",0.462186264757399
"68",-0.00733344095313357
"69",0.242469472895606
"70",0.10165342575077
"71",-0.0158331349102139
"72",0.162556270101459
"73",0.705751199060179
"74",0.209871577009802
"75",0.184790959688163
"76",0.0252498675205604
"77",0.271447770868749
"78",-0.0884843467675262
"79",-0.00951807011170652
"80",-0.125981981528463
"81",-0.30391323556872
"82",-0.694520923326187
"83",-0.942200795462088
"84",0.0793215478298846
"85",0.570008237058599
"86",0.0863873354674417
"87",0.287311774012907
"88",0.772363840151529
"89",-0.570850919850675
"90",0.733741577119939
"91",-0.106023830768884
"92",-1.01448648151521
"93",-0.223933245662981
"94",0.0251172379800836
"95",-0.392501672978299
"96",-0.383317800464152
"97",-0.0593884228576031
"98",-0.262234556642226
"99",0.291950117084832
"100",0.184444595281307
"101",-0.13275714389143
"102",0.033015787379249
"103",0.0834456536235849
"104",0.0308806472841841
"105",-0.016828882798789
"106",-0.17252766471682
"107",-0.108262158883001
"108",0.380299594328927
"109",0.421838363076866
"110",-0.25751821674178
"111",-0.273095726634898
"112",-0.185002145269329
"113",-0.227203685208268
"114",-0.0551268947440577
"115",-0.211829901551983
"116",0.284750502113684
"117",0.180592016582613
"118",-0.0527550018867681
"119",-0.0681649123548975
"120",1.07828408174795
"121",0.559073933566038
"122",0.448766086739924
"123",0.609016402266225
"124",0.687172762292644
"125",-0.331625569603527
"126",-0.60452810987796
"127",-0.506965426294298
"128",0.287407105324037
"129",0.11011688293032
"130",-0.163239934063746
"131",-0.000995281633316546
"132",0.122837129831676
"133",-0.121651356908132
"134",0.13249250042676
"135",-0.232943436730997
"136",0.0651816328250861
"137",0.178389923561051
"138",0.120869598644472
"139",0.188677481211937
"140",0.218830169059823
"141",0.031831608206154
"142",0.123014478153021
"143",-0.0752366678502926
"144",-0.0349375961114048
"145",0.0520009161453295
"146",-0.0502966173571664
"147",0.28408917494183
"148",-0.131626979153917
"149",0.273902839526785
"150",0.17537881594345
"151",0.249314378138205
"152",0.0958691641234488
"153",-0.334211162597273
"154",0.293435741134697
"155",0.132026356008208
"156",0.223191629989818
"157",-0.252327625586983
"158",0.0579870482468467
"159",0.296444830993909
"160",-0.00550242201042229
"161",-0.248964444648397
"162",0.198451660328208
"163",0.0124816218115532
"164",-0.556058737072451
"165",0.465965475003803
"166",0.0393616696626347
"167",-0.325893695495814
"168",-0.327850860928673
"169",0.360488182939631
"170",0.263542278469282
"171",0.220031869064566
"172",0.00672403795153749
"173",0.00622436557721023
"174",-0.606223261620107
"175",-0.204242873649553
"176",-0.197613608302168
"177",-0.22174531241055
"178",-0.0927212751332188
"179",-0.29274828483805
"180",-0.149147084441116
"181",-0.438465651940701
"182",-0.361331939333535
"183",-0.13049990181052
"184",0.124063780483651
"185",0.0961140454590848
"186",0.0149950887698616
"187",0.228323158192396
"188",0.688880290142072
"189",-0.176798427658018
"190",0.379065910043914
"191",-0.438503199261305
"192",-0.206931329279397
"193",-0.108173466573308
"194",0.0744944149905868
"195",-0.104625139496052
"196",-0.565238029460454
"197",-1.63930910592594
"198",-0.536121980446241
"199",-0.687431833731094
"200",-0.443006084335418
"201",-0.539574355196345
"202",-0.0641169096632671
"203",-0.327728209576739
"204",0.370441592595522
"205",-0.688863421620274
"206",1.06796458076866
"207",-0.276363984484852
"208",-1.24305570566038
"209",-0.510682748095226
"210",-0.201598737703063
"211",-0.31870141335379
"212",-0.364228875200951
"213",-0.982118251012713
"214",-0.274855076215035
"215",-0.722492799566787
"216",-0.0890012320102013
"217",0.00571616904663053
"218",0.0713127807168388
"219",-0.0568304557815035
"220",-0.22946033917201
"221",0.273929269477778
"222",-0.189154394028857
"223",0.0183420569626433
"224",-0.210151806089021
"225",0.316584181458737
"226",0.483162776323373
"227",-0.141724935842432
"228",-0.452296053100265
"229",-0.449684897398594
"230",-0.0511204862802209
"231",0.977346298741555
"232",-0.137705805081313
"233",-0.0593905065286863
"234",-0.125564002427823
"235",-0.256643828491874
"236",0.69199934839614
"237",-0.378508656224122
"238",0.569910729435348
"239",0.508487313085555
"240",0.199213601865271
"241",0.215030579441996
"242",0.0162070742876269
"243",-0.153039002667469
"244",-0.24725092993819
"245",0.241097492669951
"246",0.272421132075032
